winnaar ; vrije tijd ; ['game', 'jackpot', 'speler', 'loterij', 'prijs']
winnaar ; verkiezingen ; ['staat', 'stem', 'president', 'kiesman', 'verkiezing']
winnaar ; massamedia ; ['man', 'vraag', 'huis', 'quiz', 'deelnemer']
winnaar ; sport ; ['seizoen', 'doelpunt', 'goal', 'zilver', 'goud']
lied ; politiek ; ['volkslied', 'partij', 'foto', 'stad', 'volk']
wapen ; misdaad, recht en justitie ; ['politie', 'slachtoffer', 'woning', 'agent', 'aanval']
wapen ; internationale betrekkingen ; ['kernwapen', 'land', 'veiligheid', 'conflict', 'president']
wapen ; dieren ; ['jacht', 'jager', 'man', 'vrouw', 'jager-verzamelaar']
pot ; familie ; ['banaan', 'ingrediënt', 'boter', 'gewicht', 'recept']
aanval ; wetten en rechten ; ['bedrijf', 'cybercrimineel', 'land', 'mensenrechten', 'arrestatie']
aanval ; ziekten ; ['immuunsysteem', 'cel', 'indringer', 'lichaam', 'gezondheid']
aanval ; gewapend conflict ; ['burger', 'mens', 'regio', 'doelwit', 'staat']
steun ; verkiezingen ; ['stem', 'vereniging', 'president', 'overheid', 'financiering']
steun ; bedrijfsinformatie ; ['bedrijf', 'geld', 'misbruik', 'akkoord', 'vereniging']
gerecht ; lifestyle ; ['restaurant', 'chef', 'huis', 'automaat', 'takeaway']
gerecht ; rechterlijke macht ; ['onderzoek', 'cliënt', 'advocaat', 'man', 'brand']
opname ; gezondheid ; ['aantal', 'ziekenhuis', 'besmetting', 'mens', 'golf']
opname ; mensen ; ['mens', 'acteur', 'film', 'televisie', 'rol']
uitstoot ; klimaatverandering ; ['land', 'daling', 'opwarming', 'broeikasgas', 'auto']
uitstoot ; politiek ; ['land', 'doelstelling', 'landbouwer', 'stikstof', 'vee']
tafel ; politiek ; ['mens', 'politiek', 'land', 'partij', 'vergadering']
tafel ; samenleving ; ['mens', 'armoede', 'bord', 'ziekenhuis', 'groente']
schade ; sport ; ['sporter', 'lichaam', 'topsporter', 'virus', 'protocol']
schade ; rechterlijke macht ; ['rechtbank', 'advocaat', 'onderzoek', 'procedure', 'gevangenis']
platform ; overheidsbeleid ; ['welzijn', 'student', 'ziekenhuis', 'minister', 'beheersovereenkomst']
platform ; bedrijfsinformatie ; ['bedrijf', 'facebook', 'mediabedrijf', 'regel', 'techreuz']
operatie ; dieren ; ['geld', 'hond', 'asiel', 'mens', 'huisdier']
operatie ; ziekten ; ['fonds', 'ziekenhuis', 'arts', 'tandarts', 'wachttijd']
operatie ; politiek ; ['militair', 'politie', 'defensie', 'mens', 'kamp']
fles ; ziekten ; ['dosis', 'vaccin', 'flacon', 'hoeveelheid', 'land']
fles ; lifestyle en vrije tijd ; ['wijn', 'bier', 'prijs', 'fruit', 'champagne']
baas ; dieren ; ['hond', 'dier', 'mens', 'knop', 'leiband']
baas ; economie, business en financiën ; ['economie', 'bedrijf', 'regel', 'loon', 'zaak']
asiel ; dieren ; ['hond', 'mens', 'dier', 'dierenasiel', 'operatie']
asiel ; politiek  ; ['mens', 'land', 'staatssecretaris', 'migrant', 'terugkeer']
ster ; human interest ; ['restaurant', 'keuken', 'papa', 'licht', 'chef']
ster ; natuurwetenschappen ; ['planeet', 'baan', 'zonnestelsel', 'systeem', 'exoplaneet']
bloem ; economie, business en financiën ; ['snoeihout', 'twijg', 'jaar', 'winkel', 'plant']
bloem ; lifestyle ; ['deeg', 'water', 'boter', 'peper', 'brood']
hart ; gezondheid ; ['mens', 'bloed', 'leven', 'ziekenhuis', 'ziekte']
hart ; mensen ; ['kind', 'mens', 'leven', 'moeder', 'liefde']
straling ; economie, business en financiën ; ['reactor', 'ontmanteling', 'splijtstof', 'kerncentrale', 'afval']
straling ; natuurwetenschappen ; ['aarde', 'experiment', 'kloon', 'dna', 'ruimte']
straling ; ziekten ; ['experiment', 'bacterie', 'aarde', 'ontdekking', 'huid']
data ; wetenschap en technologie ; ['technologie', 'gegeven', 'code', 'kunstmaan', 'informatie']
data ; sociale wetenschappen ; ['platform', 'gegeven', 'burger', 'informatie', 'overheid']
temperatuur ; weerfenomeen ; ['land', 'jaar', 'meting', 'record', 'periode']
temperatuur ; ziekten ; ['vaccin', 'koorts', 'fase', 'middel', 'dosis']
bank ; bedrijfsinformatie ; ['lobby', 'klant', 'belang', 'auto', 'bankier']
bank ; sport ; ['speler', 'match', 'veld', 'wissel', 'rust']
bank ; rechterlijke macht ; ['rechtbank', 'huurwaarborg', 'eigenaar', 'verdenking', 'onderzoeksrechter']
vlees ; lifestyle ; ['smaak', 'groente', 'bord', 'gerecht', 'recept']
vlees ; milieu ; ['dier', 'bedrijf', 'landbouw', 'boer', 'stal']
tent ; samenleving ; ['migrant', 'vluchteling', 'boot', 'kind', 'grens']
tent ; human interest ; ['gezin', 'kind', 'vakantie', 'café', 'natuur']
nederlaag ; verkiezingen ; ['president', 'werk', 'arbeid', 'verkiezing', 'mens']
nederlaag ; sportevenement ; ['wedstrijd', 'speler', 'punt', 'seizoen', 'ploeg']
band ; familie ; ['broer', 'vriend', 'vriendschap', 'mens', 'vader']
band ; sport ; ['race', 'ronde', 'wereldkampioen', 'baan', 'pitstop']
cel ; gezondheid ; ['kankercel', 'immuunsysteem', 'indringer', 'ziekenhuis', 'ziekteverwekker']
cel ; misdaad ; ['man', 'slachtoffer', 'rechtbank', 'vrouw', 'feit']
cel ; politiek ; ['agent', 'visum', 'politie', 'land', 'protest']
stem ; kunst, cultuur en entertainment ; ['mens', 'nummer', 'zangeres', 'band', 'leven']
stem ; verkiezingen ; ['president', 'staat', 'verkiezing', 'kiesman', 'hertelling']
afdeling ; ziekten ; ['bewoner', 'patiënt', 'mens', 'ziekenhuis', 'zorg']
afdeling ; economische sector ; ['bedrijf', 'baas', 'onderneming', 'mens', 'loopbaan']
plant ; dieren ; ['bos', 'boom', 'vogel', 'dier', 'struik']
plant ; rechterlijke macht ; ['man', 'woning', 'plantage', 'politie', 'huis']
zee ; weersvoorspelling ; ['maximum', 'wind', 'land', 'westen', 'regen']
zee ; immigratie ; ['migrant', 'vluchteling', 'boot', 'grens', 'kind']
zee ; kunst, cultuur en entertainment ; ['land', 'schip', 'boot', 'kaper', 'water']
route ; politiek ; ['migrant', 'vluchteling', 'mens', 'grens', 'boot']
route ; vrije tijd ; ['wandeling', 'knooppunt', 'wandelnetwerk', 'pad', 'weg']
parket ; politiek ; ['politie', 'minister', 'zaak', 'agent', 'geweld']
parket ; human interest ; ['vloer', 'bewoner', 'huis', 'bewoning', 'fase']
papier ; politiek ; ['mens', 'land', 'terugkeer', 'partij', 'asiel']
papier ; vrije tijd ; ['foto', 'kaart', 'levering', 'bestelling', 'envelop']
papier ; milieuvervuiling ; ['zwerfvuil ', 'dier', 'doos', 'grond', 'afval']
niveau ; sportevenement ; ['speler', 'spits', 'competitie', 'kwaliteit', 'jongen']
niveau ; ziekten ; ['gezondheidszorg', 'mens', 'advies', 'middel', 'voorraad']
voorzitter ; verkiezingen ; ['partij', 'gemeenteraad', 'president', 'staat', 'kiesman']
voorzitter ; sport ; ['club', 'trainer', 'speler', 'seizoen', 'mens']
voorzitter ; bedrijfsinformatie ; ['bedrijf', 'baas', 'product', 'werk', 'loon']
camera ; misdaad ; ['drones', 'burgemeester', 'politie', 'boete', 'trajectcontrole']
camera ; kunst en entertainment ; ['mens', 'film', 'televisie', 'journalist', 'kandidaat']
model ; bedrijfsinformatie ; ['auto', 'merk', 'iphone', 'telefoon', 'stadsauto']
model ; milieu ; ['reactor', 'ontmanteling', 'splijtstof', 'kerncentrale', 'afval']
model ; ziekten ; ['aantal', 'golf', 'woonzorgcentra', 'land', 'virus']
afwas ; economie ; ['vaatwasser', 'vaat', 'reinigingsmiddel', 'servies', 'glas']
aanslag ; misdaad ; ['proces', 'mens', 'slachtoffer', 'politie', 'terrorist']
kamer ; politiek ; ['president', 'staat', 'kiesman', 'bewoner', 'mens']
kamer ; vrije tijd ; ['zoon', 'kind', 'bed', 'huis', 'familie']
kamer ; ziekten ; ['bewoner', 'patiënt', 'zorg', 'mens', 'huis']
golf ; burgerlijke onrust ; ['protest', 'land', 'regering', 'burgeroorlog', 'mens']
golf ; politiek ; ['land', 'mens', 'cijfer', 'maatregel', 'regering']
punt ; sport ; ['wedstrijd', 'ploeg', 'rebound', 'seizoen', 'groep']
